7bitconf,7bitConf,7bitConf::7bitConf
7bitdi,7bitDI,7bitDI::7bitDI
abseil,absl,
absent,absent,rvarago::absent
acado,ACADO,ACADO::ACADO
ade,ade,ade
aggeom-agg,agg,
alembic,Alembic,Alembic::Alembic
amgcl,amgcl,amgcl::amgcl
amqp-cpp,amqpcpp,amqpcpp
andreasbuhr-cppcoro,cppcoro,cppcoro::cppcoro
angelscript,Angelscript,Angelscript::angelscript
annoy,Annoy,Annoy::Annoy
antlr4-cppruntime,antlr4-runtime,
any-lite,any-lite,nonstd::any-lite
approvaltests.cpp,ApprovalTests,ApprovalTests::ApprovalTests
apriltag,apriltag,apriltag::apriltag
arcus,Arcus,Arcus
arduinojson,ArduinoJson,ArduinoJson
arg_router,arg_router,
argh,argh,argh
argparse,argparse,argparse::argparse
args-parser,args-parser,args-parser::args-parser
argtable3,Argtable3,argtable3::argtable3
argz,argz,argz::argz
armadillo,Armadillo,Armadillo::Armadillo
arrow,Arrow,
arsenalgear,arsenalgear,arsenalgear::arsenalgear
asio-grpc,asio-grpc,asio-grpc::asio-grpc
asmjit,asmjit,asmjit::asmjit
asmtk,asmtk,asmjit::asmtk
assimp,assimp,assimp::assimp
async_simple,async_simple,async_simple::async_simple_header_only
asyncly,asyncly,asyncly::asyncly
asyncplusplus,Async++,Async++
au,Au,Au::au
avcpp,avcpp,
aws-c-auth,aws-c-auth,AWS::aws-c-auth
aws-c-cal,aws-c-cal,AWS::aws-c-cal
aws-c-common,aws-c-common,AWS::aws-c-common
aws-c-compression,aws-c-compression,AWS::aws-c-compression
aws-c-event-stream,aws-c-event-stream,AWS::aws-c-event-stream
aws-c-http,aws-c-http,AWS::aws-c-http
aws-c-io,aws-c-io,AWS::aws-c-io
aws-c-mqtt,aws-c-mqtt,AWS::aws-c-mqtt
aws-c-s3,aws-c-s3,AWS::aws-c-s3
aws-c-sdkutils,aws-c-sdkutils,AWS::aws-c-sdkutils
aws-cdi-sdk,aws-cdi-sdk,
aws-checksums,aws-checksums,AWS::aws-checksums
aws-crt-cpp,aws-crt-cpp,AWS::aws-crt-cpp
aws-lambda-cpp,aws-lambda-runtime,AWS::aws-lambda-runtime
aws-sdk-cpp,AWSSDK,
azure-sdk-for-cpp,AzureSDK,
backport-cpp,Backport,Backport::Backport
backward-cpp,Backward,Backward::Backward
bacnet-stack,bacnet-stack,bacnet-stack::bacnet-stack
base64,base64,aklomp::base64
battery-embed,,battery::embed
bdwgc,BDWgc,BDWgc::BDWgc
beauty,beauty,beauty::beauty
benchmark,benchmark,benchmark::benchmark_main
bertrand,bertrand,bertrand::bertrand
bgfx,bgfx,bgfx::bgfx
bimg,bimg,bimg::bimg
bit-lite,bit-lite,nonstd::bit-lite
bitflags,bitflags,bitflags::bitflags
bitserializer,bitserializer,
bitsery,Bitsery,Bitsery::bitsery
blaze,blaze,blaze::blaze
blend2d,blend2d,blend2d::blend2d
bmx,bmx,
boolean-lite,boolean-lite,nonstd::boolean-lite
boost,Boost,
boost-ext-ut,ut,
boost-leaf,boost-leaf,boost::leaf
bullet3,Bullet,Bullet::Bullet
bx,bx,bx::bx
byte-lite,byte-lite,nonstd::byte-lite
bzip2,BZip2,BZip2::BZip2
c-ares,c-ares,c-ares::cares
c4core,c4core,c4core::c4core
caf,CAF,
canary,canary,canary::canary
capnproto,CapnProto,
catch2,Catch2,
cctag,CCTag,CCTag::CCTag
cctz,cctz,cctz::cctz
cd3-boost-unit-definitions,BoostUnitDefinitions,
celero,Celero,celero
cereal,cereal,cereal::cereal
ceres-solver,Ceres,Ceres::ceres
certify,certify,certify::core
cfgfile,cfgfile,cfgfile::cfgfile
cfitsio,cfitsio,cfitsio::cfitsio
cgal,,CGAL::CGAL
cgns,CGNS,CGNS::CGNS
charls,charls,charls
cista,cista,cista::cista
civetweb,civetweb,
cjson,cJSON,
clhep,CLHEP,
cli11,CLI11,CLI11::CLI11
clickhouse-cpp,,clickhouse-cpp-lib::clickhouse-cpp-lib
clipp,clipp,clipp::clipp
cminpack,,cminpack
cmocka,cmocka,
cnats,cnats,
cocoyaxi,cocoyaxi,cocoyaxi::co
coin-lemon,LEMON,LEMON::LEMON
concurrencpp,concurrencpp,concurrencpp::concurrencpp
concurrentqueue,concurrentqueue,concurrentqueue::concurrentqueue
coost,coost,coost::co
copypp,copypp,icurve::copypp
corrade,Corrade,Corrade::Corrade
coz,coz-profiler,coz::coz
cpp-httplib,httplib,httplib::httplib
cpp-jwt,cpp-jwt,cpp-jwt::cpp-jwt
cpp-lazy,cpp-lazy,cpp-lazy::cpp-lazy
cpp-peglib,peglib,peglib
cpp-sort,cpp-sort,cpp-sort::cpp-sort
cpp-yyjson,cpp_yyjson,cpp_yyjson::cpp_yyjson
cppdap,cppdap,cppdap::cppdap
cppitertools,cppitertools,cppitertools::cppitertools
cppkafka,CppKafka,CppKafka::cppkafka
cpprestsdk,cpprestsdk,
cpptoml,cpptoml,cpptoml
cpputest,CppUTest,
cppzmq,cppzmq,cppzmq
cpr,cpr,cpr::cpr
cpu_features,CpuFeatures,CpuFeatures::cpu_features
cpuinfo,cpuinfo,
cpython,Python3,
crc32c,Crc32c,Crc32c::crc32c
croncpp,croncpp,
crowcpp-crow,Crow,Crow::Crow
cryptopp,cryptopp,cryptopp::cryptopp
cs_libguarded,CsLibGuarded,CsLibGuarded::CsLibGuarded
csvmonkey,csvmonkey,csvmonkey::csvmonkey
ctml,CTML,CTML::CTML
ctrack,ctrack,ctrack::ctrack
cub,cub,CUB::CUB
cubicinterpolation,CubicInterpolation,CubicInterpolation::CubicInterpolation
cuda-api-wrappers,,cuda-api-wrappers::runtime-and-driver
curlpp,curlpp,curlpp::curlpp
cutlass,NvidiaCutlass,nvidia::cutlass::cutlass
cvplot,CvPlot,CvPlot::CvPlot
cwalk,Cwalk,cwalk
cxxopts,cxxopts,cxxopts::cxxopts
cyclonedds,CycloneDDS,CycloneDDS::CycloneDDS
cyclonedds-cxx,CycloneDDS-CXX,CycloneDDS-CXX::CycloneDDS-CXX
czmq,czmq,
dacap-clip,clip,clip::clip
dataframe,DataFrame,DataFrame::DataFrame
date,date,date::date
daw_header_libraries,daw-header-libraries,daw::daw-header-libraries
daw_json_link,daw-json-link,daw::daw-json-link
daw_utf_range,daw-utf-range,daw::daw-utf-range
dbus,DBus1,dbus-1
dcmtk,DCMTK,
devil,DevIL,DevIL::DevIL
directx-headers,DirectX-Headers,Microsoft::DirectX-Headers
discount,discount,discount::libmarkdown
dispenso,Dispenso,Dispenso::dispenso
dlib,dlib,dlib::dlib
docopt.cpp,docopt,
doctest,doctest,doctest::doctest
double-conversion,double-conversion,double-conversion::double-conversion
dpp,dpp,dpp::dpp
draco,draco,draco::draco
drogon,Drogon,Drogon::Drogon
dylib,dylib,dylib::dylib
eabase,EABase,EABase::EABase
earcut,earcut_hpp,earcut_hpp::earcut_hpp
eastl,EASTL,EASTL::EASTL
easy_profiler,easy_profiler,easy_profiler
easyhttpcpp,easyhttpcppeasyhttp,easyhttpcpp::easyhttp
ecos,ecos,ecos::ecos
edlib,edlib,edlib::edlib
edyn,Edyn,Edyn::Edyn
effolkronium-random,effolkronium_random,effolkronium_random
eigen,Eigen3,Eigen3::Eigen
embree3,embree,embree
enjincppsdk,enjinsdk,enjinsdk::enjinsdk
entt,EnTT,EnTT::EnTT
enum-flags,enumflags,EnumFlags::EnumFlags
erikzenker-hsm,hsm,hsm::hsm
erkir,erkir,erkir::erkir
etl,etl,etl::etl
exiv2,exiv2,
expat,expat,expat::expat
expected-lite,expected-lite,nonstd::expected-lite
ezc3d,ezc3d,ezc3d
faker-cxx,faker-cxx,faker-cxx::faker-cxx
fast_float,FastFloat,FastFloat::fast_float
fast-cdr,fastcdr,fastcdr
fast-dds,fastdds,
fastnoise2,FastNoise2,FastNoise2::FastNoise
fastpfor,FastPFOR,FastPFOR::FastPFOR
fcl,fcl,fcl
fixed_math,fixed_math,fixed_math::fixed_math
fixed-containers,fixed_containers,fixed_containers::fixed_containers
flac,flac,
flann,flann,
flatbuffers,flatbuffers,
flecs,flecs,
flint,libflint,libflint::libflint
fltk,fltk,fltk::fltk
flux,flux,flux::flux
fmt,fmt,
folly,folly,folly::folly
fontconfig,Fontconfig,Fontconfig::Fontconfig
foonathan-lexy,lexy,foonathan::lexy
foonathan-memory,foonathan_memory,foonathan_memory
freeglut,FreeGLUT,
freetype,freetype,Freetype::Freetype
frozen,frozen,frozen::frozen
frugally-deep,frugally-deep,frugally-deep::fdeep
fswatch,fswatch,fswatch::fswatch
ftxui,ftxui,
functionalplus,FunctionalPlus,FunctionalPlus::fplus
functions-framework-cpp,functions_framework_cpp,functions-framework-cpp::framework
fusepp,fusepp,fusepp::fusepp
g3log,g3log,g3log
gaia-ecs,gaia,gaia::gaia
gamenetworkingsockets,GameNetworkingSockets,GameNetworkingSockets::GameNetworkingSockets
games101-cgl,games101-cgl,games101-cgl::games101-cgl
gcem,gcem,gcem
gdal,GDAL,GDAL::GDAL
gdcm,GDCM,
gegles-spdlog_setup,spdlog_setup,spdlog_setup::spdlog_setup
gemmlowp,gemmlowp,gemmlowp::gemmlowp
geographiclib,geographiclib,GeographicLib::GeographicLib
geos,geos,GEOS::geos_c
gflags,gflags,gflags::gflags
ghc-filesystem,ghc_filesystem,ghcFilesystem::ghc_filesystem
giflib,GIF,GIF::GIF
ginkgo,Ginkgo,Ginkgo::ginkgo
glbinding,glbinding,glbinding::glbinding-aux
glew,,GLEW::GLEW
glfw,glfw3,glfw
gli,gli,gli
glm,glm,glm::glm
glog,glog,glog::glog
glslang,glslang,glslang::_glslang-do-not-use
gm2calc,GM2Calc,GM2Calc::GM2Calc
gnutls,GnuTLS,GnuTLS::GnuTLS
greg7mdp-gtl,gtl,gtl::gtl
grpc,gRPC,
gsl,GSL,GSL::gsl
gsl-lite,gsl-lite,gsl::gsl-lite
gtest,GTest,
gtlab-logging,GTlabLogging,GTlab::Logging
gtsam,GTSAM,
h3,h3,h3::h3
h5pp,h5pp,h5pp::h5pp
harfbuzz,harfbuzz,harfbuzz::harfbuzz
hayai,,hayai_main
hazelcast-cpp-client,hazelcast-cpp-client,hazelcast-cpp-client::hazelcast-cpp-client
hdf5,HDF5,HDF5::HDF5
hdrhistogram-c,hdr_histogram,
hexl,Hexl,Hexl::Hexl
hictk,hictk,hictk::libhictk
highfive,HighFive,HighFive
highs,highs,highs::highs
hipony-enumerate,hipony-enumerate,hipony::enumerate
hiredis,hiredis,hiredis::hiredis_all_unofficial
iceoryx,iceoryx,
icu,ICU,
id3v2lib,id3v2lib,id3v2lib::id3v2lib
idna,ada-idna,ada-idna
iir1,iir,
im95able-rea,rea,rea::rea
imath,Imath,Imath::Imath
imgui-sfml,ImGui-SFML,ImGui-SFML::ImGui-SFML
imutils-cpp,imutils_cpp,imutils_cpp::imutils_cpp
indicators,indicators,indicators::indicators
indirect_value,indirect_value,indirect_value::indirect_value
influxdb-cxx,InfluxDB,InfluxData::InfluxDB
inipp,inipp,inipp::inipp
inja,inja,pantor::inja
intel-neon2sse,NEON_2_SSE,NEON_2_SSE::NEON_2_SSE
intx,intx,intx::intx
iphreeqc,IPhreeqc,IPhreeqc::IPhreeqc
itk,ITK,
ittapi,,ittapi::ittnotify
ixwebsocket,ixwebsocket,ixwebsocket::ixwebsocket
jansson,jansson,jansson::jansson
jasper,Jasper,Jasper::Jasper
jfalcou-eve,eve,eve::eve
jinja2cpp,jinja2cpp,jinja2cpp
joltphysics,Jolt,Jolt::Jolt
json_dto,json-dto,json-dto::json-dto
json-c,json-c,json-c::json-c
json-schema-validator,nlohmann_json_schema_validator,nlohmann_json_schema_validator
jsoncons,jsoncons,jsoncons
jsoncpp,jsoncpp,JsonCpp::JsonCpp
jthread-lite,jthread-lite,nonstd::jthread-lite
jwt-cpp,jwt-cpp,jwt-cpp::jwt-cpp
kainjow-mustache,kainjow_mustache,kainjow_mustache::kainjow_mustache
kangaru,kangaru,kangaru
kdbindings,KDBindings,KDAB::KDBindings
kissfft,kissfft,kissfft::kissfft
kitten,kitten,rvarago::kitten
ktx,Ktx,KTX::ktx
kuba-zip,zip,zip::zip
lefticus-tools,,lefticus::tools
leopard,ThreadPool,ThreadPool::ThreadPool
leptonica,Leptonica,leptonica
leveldb,leveldb,leveldb::leveldb
lexbor,lexbor,
libaec,libaec,
libaesgm,Aesgm,Aesgm::Aesgm
libalsa,ALSA,ALSA::ALSA
libarchive,LibArchive,LibArchive::LibArchive
libassert,libassert,libassert::assert
libatomic_ops,Atomic_ops,Atomic_ops::atomic_ops_gpl
libavif,libavif,avif
libbigwig,BigWig,BigWig::BigWig
libboxes,libboxes,libboxes::libboxes
libccd,ccd,ccd
libcds,LibCDS,
libcheck,check,
libcoap,libcoap,
libcoro,libcoro,libcoro::libcoro
libcpuid,cpuid,cpuid::cpuid
libcuckoo,libcuckoo,libcuckoo::libcuckoo
libcurl,CURL,CURL::libcurl
libcvd,CVD,cvd
libdatachannel,LibDataChannel,LibDataChannel::LibDataChannel
libde265,libde265,de265
libdeflate,libdeflate,
libe57format,e57format,E57Format
libevent,Libevent,
libfdk_aac,fdk-aac,FDK-AAC::fdk-aac
libfreenect2,freenect2,freenect2::freenect2
libftdi,LibFTDI1,
libftp,ftp,ftp::ftp
libgeotiff,geotiff,geotiff_library
libgettext,Intl,Intl::Intl
libgta,GTA,GTA::GTA
libheif,libheif,libheif::heif
libhydrogen,hydrogen,hydrogen::hydrogen
libiconv,Iconv,Iconv::Iconv
libid3tag,id3tag,id3tag::id3tag
libigl,libigl,igl::igl
libinterpolate,libInterpolate,
libjpeg,JPEG,JPEG::JPEG
libjpeg-turbo,libjpeg-turbo,
libjuice,LibJuice,LibJuice::LibJuice
libkml,LibKML,
liblsl,LSL,LSL::lsl
libmaxminddb,maxminddb,maxminddb::maxminddb
libmediainfo,MediaInfoLib,mediainfo
libmeshb,libMeshb,libMeshb::Meshb.7
libmorton,libmorton,libmorton::libmorton
libnabo,libnabo,libnabo::nabo
libnfs,libnfs,libnfs::libnfs
libpng,PNG,PNG::PNG
libpointmatcher,libpointmatcher,
libpq,PostgreSQL,PostgreSQL::PostgreSQL
libpqxx,libpqxx,libpqxx::pqxx
libq,libq,libq::libq
librdkafka,RdKafka,RdKafka::rdkafka++
librealsense,realsense2,
libressl,LibreSSL,
librhash,LibRHash,LibRHash::LibRHash
libsamplerate,SampleRate,SampleRate::samplerate
libsersi,,libsersi::sersi
libsigcpp,sigc++-3,sigc-3.0
libsndfile,SndFile,SndFile::sndfile
libsndio,sndio,sndio::sndio
libspatialindex,libspatialindex,
libspng,SPNG,
libssh,libssh,ssh::ssh
libssh2,Libssh2,Libssh2::libssh2
libtiff,TIFF,TIFF::TIFF
libtorrent,LibtorrentRasterbar,LibtorrentRasterbar::torrent-rasterbar
libunifex,unifex,unifex::unifex
libuv,libuv,
libuvc,libuvc,
libvault,libvault,libvault::libvault
libversion,libversion,libversion::libversion
libwebm,webm,webm::webm
libwebp,WebP,
libwebsockets,Libwebsockets,
libxml2,libxml2,LibXml2::LibXml2
libxslt,LibXslt,
libyaml,yaml,yaml
libyang,LibYANG,
libzen,ZenLib,zen
